horse_id,horse_name,sire_id,sire_name,dam_id,dam_name,grandsire_id,grandsire_name,dam_sire_id,dam_sire_name
0000617048,サニングデール,0000342675,ウォーニング(GB),0000383654,カディザデー(IRE),0000335911,Known Fact(USA),0000336887,Darshaan(GB)
0001113554,サプレザ,0000369897,Sahm(USA),0001013376,Sorpresa(USA),0000335975,Mr. Prospector(USA),0000339742,Pleasant Tap(USA)
0001208435,サラキア,0000742976,ディープインパクト,0001177866,サロミナ(GER),0000333862,サンデーサイレンス(USA),0000340380,Lomitas(GB)
0001105392,サラファン,0000324933,アグネスタキオン,0000441091,ティリオブストラッフォード(USA),0000333862,サンデーサイレンス(USA),0000338072,Deputy Minister(CAN)
0001237164,サリオス,0000722158,ハーツクライ,0001177866,サロミナ(GER),0000333862,サンデーサイレンス(USA),0000340380,Lomitas(GB)
0000738062,サンアディユ,0000362799,フレンチデピュティ(USA),0000384001,シェリーザ(IRE),0000338072,Deputy Minister(CAN),0000336202,Caerleon(USA)
0000991888,サンカルロ,0000700008,シンボリクリスエス(USA),0000316445,ディーバ,0000336209,Kris S.(USA),0000336770,Crafty Prospector(USA)
0001185811,サングレーザー,0000742976,ディープインパクト,0000722740,マンティスハント,0000333862,サンデーサイレンス(USA),0000338072,Deputy Minister(CAN)
0000807639,サンツェッペリン,0000347983,テンビー(GB),0000616049,プラントオジジアン,0000336202,Caerleon(USA),0000337527,オジジアン(USA)
0001106745,サンビスタ,0000725727,スズカマンボ,0000702124,ホワイトカーニバル,0000333862,サンデーサイレンス(USA),0000214564,ミシル(USA)
0000330636,サンライズジェガー,0000333707,リアルシヤダイ(USA),0000262823,ヤマノトウショウ,0000335167,Roberto(USA),0000061253,トウシヨウボーイ
0001187218,サンライズソア,0000700008,シンボリクリスエス(USA),0000759575,アメーリア,0000336209,Kris S.(USA),0000293624,スペシャルウィーク
0001191873,サンライズノヴァ,0000619768,ゴールドアリュール,0000708118,ブライトサファイヤ,0000333862,サンデーサイレンス(USA),0000361977,サンダーガルチ(USA)
0000739053,サンライズバッカス,0000362819,ヘネシー(USA),0000188513,リアルサファイヤ,0000337102,Storm Cat(USA),0000333707,リアルシヤダイ(USA)
0000329953,サンライズペガサス,0000333862,サンデーサイレンス(USA),0000246038,ヒガシブライアン,0000335154,Halo(USA),0000333844,ブライアンズタイム(USA)
0001045761,サンリヴァル,0000293624,スペシャルウィーク,0000383657,バレークイーン(IRE),0000333862,サンデーサイレンス(USA),0000336572,Sadler's Wells(USA)
0001089667,サンレイデューク,0000619835,デュランダル,0000306438,サンレイククイン,0000333862,サンデーサイレンス(USA),0000337423,Cozzene(USA)
0001215724,サートゥルナーリア,0001089850,ロードカナロア,0000743110,シーザリオ,0000729458,キングカメハメハ,0000293624,スペシャルウィーク
0000701549,ザッツザプレンティ,0000274883,ダンスインザダーク,0000422094,バブルプロスペクター(USA),0000333862,サンデーサイレンス(USA),0000336395,Miswaki(USA)
0000614799,シアリアスバイオ,0000166681,タマモクロス,0000180369,コミニュケーション,0000082169,シービークロス,0000069360,マルゼンスキー
0001089810,シゲルジュウヤク,0000299089,グラスワンダー(USA),0000308485,ニシノコマチ,0000336890,Silver Hawk(USA),0000336395,Miswaki(USA)
0001218498,シゲルピンクダイヤ,0000725485,ダイワメジャー,0000999205,ムーンライトベイ,0000333862,サンデーサイレンス(USA),0000719408,High Chaparral(IRE)
0000619836,シャイニンルビー,0000333862,サンデーサイレンス(USA),0000247279,シャイニンレーサー,0000335154,Halo(USA),0000333544,ノーザンテースト(CAN)
0001170553,シャドウアプローチ,0000325200,ジャングルポケット,0000758654,マルカアイチャン,0000161740,トニービン(IRE),0000362799,フレンチデピュティ(USA)
0001152403,シュヴァルグラン,0000722158,ハーツクライ,0000727544,ハルーワスウィート,0000333862,サンデーサイレンス(USA),0000337496,Machiavellian(USA)
0001138980,ショウナンアチーヴ,0000325977,ショウナンカンプ,0000742742,ショウナンパントル,0000225628,サクラバクシンオー,0000333862,サンデーサイレンス(USA)
0001157731,ショウナンアデラ,0000742976,ディープインパクト,0001127295,オールウェイズウィリング(USA),0000333862,サンデーサイレンス(USA),0000364615,Elusive Quality(USA)
